78,RN2BARSW205,GigabitEthernet,0,11,rn2acisw707,707,16
79,RN2BARSW205,GigabitEthernet,0,12,rn2acisw707,707,17
80,RN2BARSW205,GigabitEthernet,0,13,rn2acisw707,707,18
81,RN2BARSW205,GigabitEthernet,0,14,rn2acisw707,707,19
82,RN2BARSW205,GigabitEthernet,0,15,rn2acisw707,707,20
83,RN2BARSW205,GigabitEthernet,0,16,rn2acisw707,707,21
84,RN2BARSW205,GigabitEthernet,0,17,rn2acisw707,707,22
85,RN2BARSW205,GigabitEthernet,0,18,rn2acisw707,707,23
86,RN2BARSW105,GigabitEthernet,0,4,rn2acisw707,707,3
87,RN2BARSW105,GigabitEthernet,0,5,rn2acisw707,707,4
88,RN2BARSW105,GigabitEthernet,0,6,rn2acisw707,707,5
89,RN2BARSW105,GigabitEthernet,0,10,rn2acisw707,707,1
90,RN2BARSW105,GigabitEthernet,0,11,rn2acisw707,707,2
91,RN2BARSW105,GigabitEthernet,0,36,rn2acisw707,707,48
92,RN2OUMSW305,GigabitEthernet,0,1,rn2acisw703,703,1
93,RN2OUMSW305,GigabitEthernet,0,2,rn2acisw703,703,2
94,RN2OUMSW305,GigabitEthernet,0,3,rn2acisw703,703,3
95,RN2OUMSW305,GigabitEthernet,0,4,rn2acisw703,703,4
96,RN2OUMSW305,GigabitEthernet,0,10,rn2acisw703,703,5
97,RN2OUMSW305,GigabitEthernet,0,11,rn2acisw703,703,6
98,RN2OUMSW305,GigabitEthernet,0,12,rn2acisw703,703,7
99,RN2OUMSW305,GigabitEthernet,0,13,rn2acisw701,701,1
100,RN2OUMSW305,GigabitEthernet,0,14,rn2acisw701,701,2
101,RN2OUMSW305,GigabitEthernet,0,15,rn2acisw701,701,3
102,RN2OUMSW305,GigabitEthernet,0,16,rn2acisw701,701,4
103,RN2OUMSW305,GigabitEthernet,0,17,rn2acisw701,701,5
104,RN2OUMSW305,GigabitEthernet,0,21,rn2acisw701,701,6
105,RN2OUMSW305,GigabitEthernet,0,24,rn2acisw701,701,7
106,RN2OUMSW305,GigabitEthernet,0,25,rn2acisw701,701,30
107,RN2OUMSW305,GigabitEthernet,0,30,rn2acisw701,701,31
108,RN2OUMSW305,GigabitEthernet,0,31,rn2acisw701,701,32
109,RN2OUMSW305,GigabitEthernet,0,32,rn2acisw703,703,34
110,RN2OUMSW305,GigabitEthernet,0,33,rn2acisw703,703,35
111,RN2OUMSW305,GigabitEthernet,0,34,rn2acisw703,703,36
112,RN2OUMSW305,GigabitEthernet,0,35,rn2acisw703,703,37
113,RN2OUMSW305,GigabitEthernet,0,36,rn2acisw703,703,38
114,RN2OUMSW305,GigabitEthernet,0,37,rn2acisw703,703,39
115,RN2OUMSW305,GigabitEthernet,0,38,rn2acisw703,703,40
116,RN2OUMSW305,GigabitEthernet,0,39,rn2acisw703,703,41
117,RN2OUMSW305,GigabitEthernet,0,41,rn2acisw703,703,42
118,RN2OUMSW305,GigabitEthernet,0,42,rn2acisw703,703,43
119,RN2OUMSW305,GigabitEthernet,0,43,rn2acisw703,703,44
120,RN2OUMSW305,GigabitEthernet,0,44,rn2acisw703,703,45
121,RN2OUMSW305,GigabitEthernet,0,45,rn2acisw703,703,46
122,RN2OUMSW305,GigabitEthernet,0,46,rn2acisw703,703,47
123,RN2OUMSW305,GigabitEthernet,0,47,rn2acisw703,703,48
124,RN2OUMSW205,FastEthernet,0,2,rn2acisw701,701,11
125,RN2OUMSW205,FastEthernet,0,4,rn2acisw701,701,12
126,RN2OUMSW205,FastEthernet,0,5,rn2acisw701,701,13
127,RN2OUMSW205,FastEthernet,0,7,rn2acisw701,701,14
